Cluster,Data Points
0,"mamoun abdulghani mamoun bari, mamoun, dar  mamoun"
1,"mohammad ahmed  zamil, ahmed mohammed  zamil hotel"
2,"sama furnished apartments, i hadi  sama furnished apartments"
3,"golden  areen, areen apartments, areen, areen, areen hotel apartments"
4,"raleen 2, raleen, raleen sea"
5,"qasr joudi, joudi star"
6,"nawazi hotel, nawazi, nawazi ajyad"
7,"asala tower apartments, asala luxury apartments"
8,"sunset 2, sunset jeddah, sunset palace, sunset"
9,"palace  flowers, golden flowers"
10,"eilaf suites, eilaf  hamra"
11,"dar haneen apartments, qasr  haneen"
12,"abiat residences, abiat residential apartments, abiat"
13,"mutab suites  yasmin, mutab suites, mutab suites"
14,"venue jeddah corniche, venue"
15,"seven garden's, seven garden  huda, seven garden, seven garden suites"
16,"nasser manawar muthayyib  sahli establishment, nasser manawar muthayb  sahli establishment"
17,"valley resort, valley villa, valley, valley, valley inn"
18,"eurasia, eurasia arab limited"
19,"velvet inn, velvet beach, velvet palace, velvet"
20,"argawan, argawan  madinah, argawan hotel, argawan suites"
21,"star suites hotel, star luxury suites"
22,"dar  nukhba, taj  nukhba"
23,"layla villa, alf layla wa layla"
24,"aknan, aknan furnished apartments, durrat  aknan, aknan"
25,"berry hotel apartments, berry inn, berry homes"
26,"park hayat jeddah   marina, park hayat jeddah, hayat jeddah"
27,"hilton garden inn, hilton garden inn  jubail, hilton garden inn  khobar, hilton garden inn tabuk"
28,"ghadeer palace, ghadeer pace, ghadeer 2, ghadeer 3"
29,"nomas palace, nomas plaza"
30,"hayat inn hotel apartments   riyadh, riyadh inn"
31,"madain hotel, taj  madain apartments"
32,"zill hotel, zill, zill  sam, zill"
33,"nuzul  raha, nuzul hotel"
34,"sultan hotel apartments, abdullah sultan  sultan establishment, sultan hotel, sultan, sultan apartments, sultan"
35,"elaf, elaf 2 suites, elaf suites, elaf 1"
36,"myrtle hotel  sahafa, myrtle"
37,"jouri, jouri, qasr  jouri, jouri park"
38,"procare apart hotel, procare"
39,"golden tulip suites  khobar, golden tulip  khobar, golden tulip  khobar residenti units"
40,"layl, nujoom  layl"
41,"fun suites, fun suite"
42,"jbeil beach, hayat jbeil"
43,"ahd jewel, ahd, qasr  ahd"
44,"gulf delmon, delmon suites hotel"
45,"hawthorn suites  wyndham  khobar, hawthorn suites"
46,"badaa apartments, minaret  badaa"
47,"aqeeq pace, aqeeq madinah"
48,"sky, sky hotel, sky park"
49,"luxury villas, f villas"
50,"diamond elite, elite diamond, diamond elite hotel jazan"
51,"holiday  kheej, kheej"
52,"turki, turki  sharif"
53,"qasr  rabie, rabie residence, rabie villa 6"
54,"ahadab apartments, ahadab furnished residential units"
55,"international hotels company, international border hotels company"
56,"mahdi i  ghamdi, mahdi"
57,"rawdah inn limited, rawdah hotels limited"
58,"hazm golden apartments, hazm apartments, hazm, qasr  hazm, hazm"
59,"baha tower, baha hotel"
